844170894280966144	2017-03-21 12:56	@brokeymcpoverty	women, what's the most infuriating thing you've had mansplained to you?:::
844170989676216320	2017-03-21 12:57	@alicia_ms	@brokeymcpoverty birth control/abortion.:::844171325652553730	2017-03-21 12:58	@alicia_ms	@tamerra_nikol @brokeymcpoverty I was told there was "no such thing as an accidentally pregnancy" because birth control exists.:::
844171000786767873	2017-03-21 12:57	@millercallihan	@brokeymcpoverty Girl Scouts.:::
844171025495613440	2017-03-21 12:57	@JoycePants	@brokeymcpoverty The female orgasm.:::
844171078427729926	2017-03-21 12:57	@tamerra_nikol	@brokeymcpoverty how an IUD works :(:::844171142583783426	2017-03-21 12:57	@tamerra_nikol	@alicia_ms @brokeymcpoverty OMG same!!!:::844171444003201029	2017-03-21 12:58	@tamerra_nikol	@alicia_ms @brokeymcpoverty oh god:::
844171106491777024	2017-03-21 12:57	@nayomir	@brokeymcpoverty how to "care for" my iPhone battery 😂🤣:::
844171160032071680	2017-03-21 12:57	@Alice_Wilder	@brokeymcpoverty Once a man explained to me (and a class full of women) that there are fifty states:::844171351237820418	2017-03-21 12:58	@Alice_Wilder	@brokeymcpoverty he was the only dude in a women's studies class. we're all college seniors. we know how many STATES THERE ARE AHHH:::844204156944572416	2017-03-21 15:08	@Alice_Wilder	@svershbow @brokeymcpoverty he got kicked out of the class later in the semester bc he missed so much & didn't do the work 💅💁:::844214753182568448	2017-03-21 15:50	@Alice_Wilder	@RachelCharleneL @brokeymcpoverty omg i love you:::
844171219653996544	2017-03-21 12:57	@nikkealexis	@brokeymcpoverty I've had my job mansplained to me by a man who doesn't even know or practice environmental law. 🙅🏽:::
844171335592943616	2017-03-21 12:58	@GeekyLyndsay	@brokeymcpoverty that I can spend an American dollar coin. It's worth $1.:::
844171355297857536	2017-03-21 12:58	@alyssawool	@brokeymcpoverty most recent: how to get likes on insta. I run 14 insta accounts.:::
844171569270263810	2017-03-21 12:59	@tragedythyme	@brokeymcpoverty impact of SCOTUS appointments. I'm a former con law attorney.:::
844171705484378112	2017-03-21 12:59	@KellyThePeahen	@brokeymcpoverty sports that I already enjoy and understand.:::844200057352151040	2017-03-21 14:52	@KellyThePeahen	@brokeymcpoverty how to cook a perfect steak. Meat is not a singularly manly domain.:::
844171827824021505	2017-03-21 13:00	@_BlvckOleandar	@brokeymcpoverty How to work tools that I've been experienced with for over 5 years.:::
844171838343192576	2017-03-21 13:00	@bethijay	@brokeymcpoverty the play that I created, how getting pregnant works, not to take abuse so personally:::
844171857460834304	2017-03-21 13:00	@krystinaiam	@brokeymcpoverty The challenges of being a woman in the "workforce".:::
844171907121463297	2017-03-21 13:00	@WhatJustineSays	@brokeymcpoverty definitely birth control and abortion, and why feminism should be called "equalism".  It ended my last relationship. 😊:::844212604339982336	2017-03-21 15:42	@WhatJustineSays	@brokeymcpoverty oh, and also was mansplained why the government shouldn't cover birth control.:::
844171922380394498	2017-03-21 13:00	@mamma_rach	@brokeymcpoverty I had a man with 3 children he doesn't care for explain why abortions are "just for women that can't accept responsibility":::
844171955750293504	2017-03-21 13:00	@safvn	@brokeymcpoverty the plot of the Harry Potter books by a man who had never read them:::
844171967137828866	2017-03-21 13:00	@Pandora_HasABox	@brokeymcpoverty But...you're a woman, so it's possible that you *thought* you were flying but really, you were just on a trampoline. #ugh:::
844172019998560257	2017-03-21 13:01	@kaaripitkin	@brokeymcpoverty that podcasts and audio content are kinda having a big moment. I've worked at wnyc for 19 years.:::
844172180485259264	2017-03-21 13:01	@lizbitz9	@brokeymcpoverty On here: dude still insistent that "pregnancy is not a medical condition." I'm a professor of nursing.:::
844172203067432961	2017-03-21 13:01	@cococoyote	@brokeymcpoverty i just started describing it for you and got so mad my head exploded.:::
844172385666449409	2017-03-21 13:02	@MCHLLT	@brokeymcpoverty when i rejected the advances of someone who assaulted me, he mansplained I was rude & "on behalf of all men" to not do that:::844172834964455424	2017-03-21 13:04	@MCHLLT	@brokeymcpoverty also have been mansplained by white dudes how racism works ha ha ha hahaha!!:::
844172404469501952	2017-03-21 13:02	@_kaydeex3	@brokeymcpoverty mansplaining itself 🙃🙄:::
844172489769074689	2017-03-21 13:03	@hoover_dam	@brokeymcpoverty Capoeira song lyrics...when I was the one who adapted the group's song book...and the line in question is onomatopoeia:::844172937154453504	2017-03-21 13:04	@hoover_dam	@brokeymcpoverty "it's 'tim tim tim..." Me: it's fucking berimbau noises (he was going after pronunciation, not transcription):::844174675374751744	2017-03-21 13:11	@hoover_dam	@brokeymcpoverty Maybe not the worst but stands out for how inconsequential it was. Even native speakers vary it per accent.:::844183442967449601	2017-03-21 13:46	@hoover_dam	@brokeymcpoverty also stands out for being diff b/w instructing and mansplaining. Fellas, we can tell.:::844186810267983872	2017-03-21 13:59	@hoover_dam	@aeirlys @brokeymcpoverty "Son, go find the afikomen. In another time zone.":::
